ID,dataset_id,Longitude,Latitude
110-1,110-1,104.116821,-2.049104
110-2,110-2,104.116663,-2.049256
110-3,110-3,104.116542,-2.049439
111-1,111-1,104.119184,-2.052626
111-2,111-2,104.11898,-2.052648
111-3,111-3,104.118775,-2.052688
136-1,136-1,104.06807,-2.032108
136-2,136-2,104.068112,-2.032255
136-3,136-3,104.068126,-2.032453
137-1,137-1,104.066043,-2.032695
137-2,137-2,104.066111,-2.032852
137-3,137-3,104.06611,-2.033104
138-1,138-1,104.064057,-2.033504
138-2,138-2,104.064044,-2.033688
138-3,138-3,104.064095,-2.033907
141-1,141-1,104.062179,-2.034964
141-2,141-2,104.062393,-2.035095
141-3,141-3,104.062596,-2.035236
142-1,142-1,104.080999,-2.036554
142-2,142-2,104.080915,-2.036395
142-3,142-3,104.080883,-2.03617
143-1,143-1,104.078827,-2.037128
143-2,143-2,104.078687,-2.036978
143-3,143-3,104.07858,-2.036816
149-1,149-1,104.068056,-2.038174
149-2,149-2,104.068014,-2.037988
149-3,149-3,104.067987,-2.037785
150-1,150-1,104.065789,-2.037881
150-2,150-2,104.065929,-2.037753
150-3,150-3,104.066099,-2.037596
151-1,151-1,104.064006,-2.036562
151-2,151-2,104.064088,-2.036418
151-3,151-3,104.064123,-2.036206
152-1,152-1,104.061967,-2.036148
152-2,152-2,104.062031,-2.035964
152-3,152-3,104.062069,-2.035761
154-1,154-1,104.119,-2.056734
154-2,154-2,104.119208,-2.056858
154-3,154-3,104.119422,-2.056891
155-1,155-1,104.117601,-2.061361
155-2,155-2,104.117439,-2.061205
155-3,155-3,104.117234,-2.061086
156-1,156-1,104.118263,-2.064942
156-2,156-2,104.118417,-2.064809
156-3,156-3,104.118606,-2.064681
15-LK-1-1,15-LK-1-1,104.238728,-2.023593
15-LK-1-2,15-LK-1-2,104.238782,-2.023391
15-LK-1-3,15-LK-1-3,104.238815,-2.023211
15-LK-1-4,15-LK-1-4,104.238681,-2.023708
15-LK-1-5,15-LK-1-5,104.238634,-2.023777
15-LK-1-6,15-LK-1-6,104.238611,-2.023974
15-LK-2-1,15-LK-2-1,104.239126,-2.023604
15-LK-2-2,15-LK-2-2,104.239152,-2.023486
15-LK-2-3,15-LK-2-3,104.239201,-2.023322
15-LK-2-4,15-LK-2-4,104.239134,-2.023711
15-LK-2-5,15-LK-2-5,104.239155,-2.023904
15-LK-2-6,15-LK-2-6,104.239221,-2.024089
162-1,162-1,104.109962,-2.077423
162-2,162-2,104.109825,-2.077295
162-3,162-3,104.109729,-2.077097
163-1,163-1,104.108033,-2.078
163-2,163-2,104.107918,-2.077854
163-3,163-3,104.107756,-2.07768
164-1,164-1,104.105896,-2.079025
164-2,164-2,104.105915,-2.079213
164-3,164-3,104.105937,-2.079439
165-1,165-1,104.103916,-2.079389
165-2,165-2,104.103863,-2.079203
165-3,165-3,104.103802,-2.078992
166-1,166-1,104.101958,-2.080274
166-2,166-2,104.102075,-2.080424
166-3,166-3,104.102141,-2.080584
