name,POINT_X,POINT_Y,x,y
Camp Induk-1,"104.09642867900","-2.08385118988","399516.9999566","9769642.00004193"
Camp Induk-2,"104.09623998100","-2.08363397573","399496.0000432","9769666.00001373"
Camp Induk-3,"104.09606923500","-2.08347104825","399477.0000422","9769683.99999235"
Camp Induk-4,"104.09570971800","-2.08321755095","399437.0000399","9769711.99999712"
Camp Induk-5,"104.09498170900","-2.08268341301","399355.9999799","9769770.99999266"
Sialang-1,"104.05989728100","-2.03612122272","395451.0000043","9774916.00000969"
Sialang-2,"104.05979845600","-2.03598547545","395439.9999505","9774930.99997193"
Sialang-3,"104.05964572300","-2.03578637454","395423.0000441","9774952.99995509"
Sialang-4,"104.05938520400","-2.03539724419","395394.000047","9774996.00002002"
Sialang-5,"104.05895405300","-2.03466426704","395346.000028","9775077.00004922"
Lestari-1,"104.22770399200","-2.03471821737","414113.99995","9775081.0000249"
Lestari-2,"104.22754218300","-2.03463672261","414096.0000128","9775089.99996749"
Lestari-3,"104.22736239500","-2.03454617167","414076.0000241","9775100.0000349"
Lestari-4,"104.22691288600","-2.03440121355","414026.0000004","9775115.99998831"
Lestari-5,"104.22615778600","-2.03400280938","413942.0000316","9775159.99996221"
Serindit-1,"104.22094951800","-1.98160375821","413360.0000032","9780951.99998757"
Serindit-2,"104.22085953300","-1.98175750361","413350.0000073","9780935.00001333"
Serindit-3,"104.22074255900","-1.98194742244","413337.0000387","9780913.99995535"
Serindit-4,"104.22047263900","-1.98233628749","413307.0000085","9780871.00004703"
Serindit-5,"104.22000473000","-1.98311405357","413255.0000417","9780784.99999119"
193-1,"104.22800000000","-2.02100400043","414146.1977897","9776597.00605806"
193-3,"104.22799000000","-2.02060700011","414145.0647226","9776640.89054177"
193-2,"104.22801500000","-2.02075499974","414147.8529331","9776624.53176128"
15-LK-1-1,"104.23872800000","-2.02359300022","415339.4594629","9776311.37787987"
15-LK-1-3,"104.23881500000","-2.02321099969","415349.1153829","9776353.60922619"
15-LK-1-2,"104.23878200000","-2.02339099989","415345.4546223","9776333.71006102"
15-LK-1-4,"104.23868100000","-2.02370800012","415334.23824","9776298.66319606"
15-LK-1-6,"104.23861100000","-2.02397399980","415326.4669691","9776269.25561089"
15-LK-1-5,"104.23863400000","-2.02377699971","415329.0146318","9776291.03344409"
15-LK-2-1,"104.23912600000","-2.02360399982","415383.7238965","9776310.18273277"
15-LK-2-2,"104.23915200000","-2.02348599978","415386.6094262","9776323.2279575"
15-LK-2-3,"104.23920100000","-2.02332200031","415392.050456","9776341.35921348"
15-LK-2-4,"104.23913400000","-2.02371100026","415384.6192114","9776298.35519132"
15-LK-2-5,"104.23915500000","-2.02390400017","415386.9647579","9776277.02184186"
15-LK-2-6,"104.23922100000","-2.02408899971","415394.3145337","9776256.57521033"
194-1,"104.22995200000","-2.02150700025","414363.3184176","9776541.5067607"
194-2,"104.22995800000","-2.02157799992","414363.989367","9776533.65866961"
194-3,"104.22993800000","-2.02177800015","414361.7755223","9776511.54929888"
18-LK-2-4,"104.23482900000","-2.00767199986","414905.0016971","9778071.1022704"
18-LK-2-5,"104.23470600000","-2.00753199970","414891.3148243","9778086.57167062"
18-LK-2-6,"104.23455100000","-2.00734400003","414874.066455","9778107.34533468"
18-LK-2-1,"104.23490800000","-2.00774599968","414913.7916779","9778062.92634493"
18-LK-2-2,"104.23503600000","-2.00787400018","414928.0341375","9778048.78366198"
18-LK-2-3,"104.23519500000","-2.00805100025","414945.7268157","9778029.22611621"
18-LK-1-4,"104.23444600000","-2.00791200014","414862.4180123","9778044.55238836"
18-LK-1-5,"104.23433700000","-2.00775700019","414850.2873704","9778061.68061194"
18-LK-1-6,"104.23420300000","-2.00759099972","414835.3757015","9778080.02354424"
190-3,"104.23425900000","-2.00861300009","414841.6567557","9777967.05318794"
189-1,"104.23197100000","-2.00818200000","414587.1697203","9778014.57714993"
189-2,"104.23195600000","-2.00801100021","414585.4926073","9778033.4789197"
189-3,"104.23196100000","-2.00778799982","414586.0371402","9778058.12995244"
188-1,"104.22997200000","-2.00822200005","414364.848791","9778010.05091379"
188-2,"104.22983700000","-2.00837800004","414349.8425052","9777992.79937726"
188-3,"104.22972900000","-2.00852000030","414337.8384947","9777977.09680557"
187-1,"104.22794600000","-2.00804099979","414139.5132286","9778029.95268521"
187-2,"104.22798900000","-2.00790099963","414144.2882831","9778045.43076913"
187-3,"104.22807600000","-2.00768000023","414153.9526967","9778069.86493861"
186-1,"104.22497800000","-2.00823099956","413809.4304162","9778008.79364871"
186-2,"104.22509200000","-2.00842799965","413822.1194942","9777987.02296071"
186-3,"104.22513100000","-2.00855600016","413826.463675","9777972.87564084"
18-LK-1-1,"104.23452100000","-2.00797000012","414870.7622783","9778038.14489962"
18-LK-1-2,"104.23462100000","-2.00809999982","414881.8907238","9778023.77976831"
18-LK-1-3,"104.23475500000","-2.00827699988","414896.8029532","9778004.22092457"
190-1,"104.23413200000","-2.00823499975","414827.5125664","9778008.83123022"
190-2,"104.23420200000","-2.00840600044","414835.3066735","9777989.93223408"
SR-LK-1-2,"104.22122800000","-1.98191600012","413390.9887986","9780917.49881817"
SR-LK-1-3,"104.22116000000","-1.98212699996","413383.4368132","9780894.17099652"
SR-LK-1-1,"104.22130200000","-1.98177599996","413399.2117216","9780932.97853253"
SR-LK-2-1,"104.22173500000","-1.98193900028","413447.3781038","9780914.98284265"
SR-LK-2-2,"104.22168300000","-1.98207900045","413441.6020129","9780899.50428138"
SR-LK-2-3,"104.22162900000","-1.98228400001","413435.6067514","9780876.84047603"
170-1,"104.20926200000","-1.97922700023","412059.9966686","9781214.11565492"
170-2,"104.20911300000","-1.97929199963","412043.4283007","9781206.92259453"
170-3,"104.20888100000","-1.97938899960","412017.6304633","9781196.18772345"
171-1,"104.21016500000","-1.98098799960","412160.5206679","9781019.49924964"
171-2,"104.21003800000","-1.98109399999","412146.4014228","9781007.77503053"
171-3,"104.20985300000","-1.98122699983","412125.8327733","9780993.06316309"
172-1,"104.21210800000","-1.98210499985","412376.6789185","9780896.12681037"
172-2,"104.21203000000","-1.98228900024","412368.0134819","9780875.78293598"
172-3,"104.21199800000","-1.98251099968","412364.4660736","9780851.24100798"
SR-LK-2-6,"104.22201100000","-1.98143300033","413478.0483372","9780970.93130957"
SR-LK-2-5,"104.22186300000","-1.98162300010","413461.597704","9780949.92069978"
SR-LK-2-4,"104.22176600000","-1.98176400031","413450.8167689","9780934.32924228"
175-1,"104.21898000000","-1.98155000033","413140.9489585","9780957.83934819"
175-2,"104.21898300000","-1.98172700040","413141.2918548","9780938.27361919"
175-3,"104.21899900000","-1.98196599973","413143.0837994","9780911.85506878"
173-2,"104.21398400000","-1.98254000012","412585.3491889","9780848.14021326"
173-3,"104.21398600000","-1.98275400010","412585.5828661","9780824.48437171"
173-1,"104.21396700000","-1.98234400008","412583.4481905","9780869.80551792"
176-1,"104.21499600000","-1.97825000014","412697.6785632","9781322.4178836"
176-2,"104.21512000000","-1.97809600023","412711.4617753","9781339.44783086"
176-3,"104.21529500000","-1.97792200030","412730.9161054","9781358.69129569"
176-3,"104.21529400000","-1.97792300035","412730.804933","9781358.58069623"
177-1,"104.21699600000","-1.97934700036","412920.1749334","9781201.25865049"
177-2,"104.21706600000","-1.97918099990","412927.9515926","9781219.61230428"
177-3,"104.21717600000","-1.97898699995","412940.175677","9781241.06316879"
SR-LK-1-4,"104.22137200000","-1.98157399964","413406.9866283","9780955.31163546"
SR-LK-1-5,"104.22146000000","-1.98140299985","413416.7649857","9780974.21882891"
