Date;Main Camp;Sialang;Buring;Ramin;Serindit;Lestari
1/1/21;0;0;4;0;0;20
1/2/21;0;1;0;0;0;0
1/3/21;0;0;0;0;0;0
1/4/21;40;24;22.5;16.5;62;38
1/5/21;0;0;0;0;0;0
1/6/21;0;0;0;1;0;0
1/7/21;13;8;5;2;8;14
1/8/21;0;0;0;8.5;0;0
1/9/21;1;2;0;24.5;0;11.5
1/10/21;7;4;8.5;0;15;3
1/11/21;0;0;0;0;0;0
1/12/21;13;10;9.5;85;40;5.5
1/13/21;3.5;51;39;7;60;1
1/14/21;0;59;11;10;10;5
1/15/21;10;24;5;5;5;1
1/16/21;5;80;0;0;0;0
1/17/21;0;0;0;0;0;0
1/18/21;7;40;14;20;6;6
1/19/21;0;0;3;0;0;0
1/20/21;0;0;0;0;0;0
1/21/21;0;0;0;3;0;0
1/22/21;0;0;0;0;0;0
1/23/21;0;0;0;0;0;0
1/24/21;0;0;0;0;0;0
1/25/21;0;0;0;0;0;0
1/26/21;0;93;41;3;14;14
1/27/21;0;0;0;0;1;0
1/28/21;3;15;2;0;2;32
1/29/21;0;9;3;0;1;1
1/30/21;10;0;0;0;0;0
1/31/21;9;7;0;0;0;0
2/1/21;0;0;0;0;0;0
2/2/21;0;24;16;0;0;1
2/3/21;0;0;6;0;0;8
2/4/21;0;1;0;2;8;10
2/5/21;0;0;0;0;0;0
2/6/21;0;0;0;0;0;0
2/7/21;7;8;3.5;0;0;0
2/8/21;0;0;0;0;0;11
2/9/21;0;0;0;0;0;0
2/10/21;0;0;0;0;0;0
2/11/21;2;17;30;11;4;23
2/12/21;0;0;0;0;0;0
2/13/21;7;11;0;0;0;2
2/14/21;16;7;0;0;9;24
2/15/21;0;15;0;4;8;4
2/16/21;0;0;0;0;0;0
2/17/21;0;0;0;0;0;0
2/18/21;5;9;6;0;10;31
2/19/21;0;18;19.5;4.5;12;12
2/20/21;0;0;0;7;0;0
2/21/21;0;7;25;3;0;2
2/22/21;0;3;0;1;0;1.5
2/23/21;0;0;0;0;0;8
2/24/21;0;0;5.5;1;0;25
2/25/21;0;0;0;0;10;29
2/26/21;15;15;11;17.5;17;6
2/27/21;2.5;0;0;3;7;16
2/28/21;0;0;0;0;0;0
3/1/21;8;0;0;0;25;0
3/2/21;0;0;0;0;0;0
3/3/21;14;15;12;0;0;0
3/4/21;2;0;1;0;0;0
3/5/21;0;0;0;0;0;0
3/6/21;0;0;0;0;1;15.5
3/7/21;18;15;18;8.5;51;81
3/8/21;0;0;0;0;0;7
3/9/21;0;0;7;0;9.5;5
3/10/21;103.5;0;0;0;0;0
3/11/21;0;0;0;0;0;0
3/12/21;1;0;0;0;0;0
3/13/21;0;0;0;5;1;0
3/14/21;1;38;6;6.5;NA;50
3/15/21;5;0;3;0;0;0
3/16/21;5;3;0;0;0;0
3/17/21;8.5;15;0;5;0;0
3/18/21;0;6;0;11;4.5;3
3/19/21;0;0;0;6;13;0
3/20/21;0;0;5;0;10;12
3/21/21;0;26;40;20;19.5;0
3/22/21;0;7;8;3;5.5;9
3/23/21;5;14;10;17;16;20
3/24/21;10;5;0;9;10;10
3/25/21;17.5;28;55;34;47;23
3/26/21;0;0;0;0;0;0
3/27/21;0;0;4;1.5;10.5;1
3/28/21;0;21;26;17.5;0;0
3/29/21;0.5;3;2;10.5;71;2
3/30/21;1.5;6;3.5;31;26;18.5
3/31/21;2;13;6;32;78;46.5
4/1/21;4;19;9.5;5;4;20
4/2/21;0;0;0;0;0;0
4/3/21;0;0;0;5;0;0
4/4/21;0;0;10;0;0;0
4/5/21;0;0;0;0;0;0
4/6/21;0;0;1;8;11;0
4/7/21;0;0;8;9;10;7
4/8/21;0;0;30;30;37;21
4/9/21;NA;0;0;NA;NA;NA
4/10/21;NA;0;0;NA;NA;NA
4/11/21;NA;0;0.5;NA;NA;NA
4/12/21;NA;0;0;NA;NA;NA
4/13/21;0;0;10;0;0;0
4/14/21;30;10;10;10;10;15
4/15/21;2;0;0;0;60;70
4/16/21;11;0;0;3.5;0;2
4/17/21;10;21;0;10;0;14
4/18/21;0;3;0;1;0;2
4/19/21;0;0;0;NA;0;0
4/20/21;16;0;46;NA;NA;0
4/21/21;0;44;0;12;0;4
4/22/21;0;0;0;0;2;0
4/23/21;0;22;9;110;53;35
4/24/21;0;0;0;2;0;50
4/25/21;0;0;0;0;0;0
4/26/21;0;0;1.5;4;9.5;1
4/27/21;0;0;0;1;12;0
4/28/21;0;0;0;0;0;0
4/29/21;7;18;56;3;4;30
4/30/21;0;0;0;0;0;0
5/1/21;NA;7;3.5;0;0;0
