Date;Main Camp;Sialang;Buring;Ramin;Serindit;Lestari
01/01/2021;80;73;72;72;69;80
01/02/2021;78;70;73;73;69;80
01/03/2021;76;71;72;72;70;80
01/04/2021;76;80;73;71;70;80
01/05/2021;76;71;70;73;68;80
01/06/2021;75;70;70;70;70;80
01/07/2021;72;72;72;72;69;80
01/08/2021;70;72;70;72;69;80
01/09/2021;71;75;72;70;68;81
01/10/2021;76;78;75;72;70;80
01/11/2021;70;75;70;73;70;72
01/12/2021;78;79;72;78;71;83
1/13/21;80;79;76;78;70;80
1/14/21;69;80;76;80;71;80
1/15/21;70;73;76;78;70;81
1/16/21;70;70;72;78;69;79
1/17/21;71;74;70;74;70;80
1/18/21;78;74;72;75;70;71
1/19/21;76;72;70;72;70;80
1/20/21;76;70;71;78;70;79
1/21/21;71;70;71;79;69;79
1/22/21;71;70;70;78;69;79
1/23/21;70;70;70;72;71;81
1/24/21;72;70;71;75;63;75
1/25/21;71;70;72;71;69;78
1/26/21;72;72;75;72;70;80
1/27/21;76;72;70;72;70;79
1/28/21;71;74;70;71;70;80
1/29/21;77;73;71;72;70;79
1/30/21;76;71;70;71;69;80
1/31/21;76;73;72;72;70;80
02/01/2021;71;71;70;71;69;80
02/02/2021;59;70;70;72;70;79
02/03/2021;76;71;71;70;69;80
02/04/2021;74;70;72;70;70;80
02/05/2021;72;70;71;71;68;79
02/06/2021;72;70;65;72;69;80
02/07/2021;77;72;72;72;69;80
02/08/2021;71;70;71;73;70;80
02/09/2021;75;72;70;74;69;79
02/10/2021;70;71;70;72;68;79
02/11/2021;73;72;72;70;69;79
02/12/2021;71;71;70;71;69;80
2/13/21;76;72;70;72;60;80
2/14/21;71;74;75;72;70;79
2/15/21;60;70;71;73;70;80
2/16/21;71;70;70;72;68;80
2/17/21;71;70;70;74;69;79
2/18/21;72;71;72;72;70;80
2/19/21;80;73;75;78;68;80
2/20/21;72;70;70;78;69;80
2/21/21;73;70;71;73;69;79
2/22/21;72;70;70;75;68;80
2/23/21;70;72;70;70;69;80
2/24/21;72;70;70;70;70;79
2/25/21;76;71;70;79;69;80
2/26/21;71;72;70;72;65;79
2/27/21;72;70;70;72;68;80
2/28/21;70;70;70;70;70;80
03/01/2021;71;71;70;71;60;80
03/02/2021;70;70;70;70;69;80
03/03/2021;70;70;70;68;70;80
03/04/2021;72;70;71;69;71;80
03/05/2021;71;70;70;71;69;80
03/06/2021;71;71;72;70;70;80
03/07/2021;73;73;73;71;71;80
03/08/2021;71;71;70;72;70;80
03/09/2021;73;70;70;70;69;82
03/10/2021;72;71;70;72;70;80
03/11/2021;70;70;70;73;70;80
03/12/2021;74;71;70;70;70;80
3/13/21;70;70;70;72;69;80
3/14/21;76;78;73;71;70;80
3/15/21;72;70;73;72;69;80
3/16/21;80;72;70;78;69;80
3/17/21;78;72;70;75;69;80
3/18/21;75;74;70;70;68;80
3/19/21;72;71;70;72;70;80
3/20/21;75;70;70;70;70;78
3/21/21;79;71;70;70;70;80
3/22/21;78;71;72;69;69;80
3/23/21;80;75;70;72;70;80
3/24/21;80;72;70;75;70;80
3/25/21;80;76;72;76;71;80
3/26/21;70;70;70;72;70;80
3/27/21;65;72;70;73;70;79
3/28/21;79;70;75;70;69;79
3/29/21;51;70;72;75;70;80
3/30/21;80;70;70;75;69;80
