Date,RR
01-01-2013,0
02-01-2013,8888
03-01-2013,18.3
04-01-2013,8888
05-01-2013,0
06-01-2013,0
07-01-2013,0
08-01-2013,0
09-01-2013,0
10-01-2013,23
11-01-2013,0
12-01-2013,0
13-01-2013,0
14-01-2013,0.2
15-01-2013,1
16-01-2013,0
17-01-2013,0.5
18-01-2013,11.5
19-01-2013,1.4
20-01-2013,1.6
21-01-2013,16.4
22-01-2013,8888
23-01-2013,1.3
24-01-2013,8888
25-01-2013,11.3
26-01-2013,0.8
27-01-2013,30.9
28-01-2013,4.3
29-01-2013,21.2
30-01-2013,1
31-01-2013,0
01-02-2013,4.4
02-02-2013,0
03-02-2013,0
04-02-2013,39
05-02-2013,9.2
06-02-2013,0.4
07-02-2013,0.1
08-02-2013,9.1
09-02-2013,34.4
10-02-2013,8888
11-02-2013,0
12-02-2013,9.1
13-02-2013,10.1
14-02-2013,0.6
15-02-2013,20.6
16-02-2013,13.1
17-02-2013,0.4
18-02-2013,25.6
19-02-2013,0
20-02-2013,8888
21-02-2013,8888
22-02-2013,8888
23-02-2013,0
24-02-2013,0
25-02-2013,0
26-02-2013,8888
27-02-2013,0.5
28-02-2013,0
01-03-2013,0
02-03-2013,0
03-03-2013,0
04-03-2013,8888
05-03-2013,0.1
06-03-2013,0
07-03-2013,0.2
08-03-2013,13.7
09-03-2013,86.5
10-03-2013,4.7
11-03-2013,82.1
12-03-2013,0
13-03-2013,0
14-03-2013,39.5
15-03-2013,0.8
16-03-2013,4.5
17-03-2013,32.8
18-03-2013,0.5
19-03-2013,22
20-03-2013,5.6
21-03-2013,0.2
22-03-2013,3.6
23-03-2013,0
24-03-2013,1.5
25-03-2013,0
26-03-2013,1.3
27-03-2013,17
28-03-2013,8888
29-03-2013,9.4
30-03-2013,8888
31-03-2013,8888
01-04-2013,3.5
02-04-2013,10.4
03-04-2013,1.5
04-04-2013,8888
05-04-2013,0
06-04-2013,12.3
07-04-2013,0
08-04-2013,0
09-04-2013,86.5
10-04-2013,1
11-04-2013,1.8
12-04-2013,0
13-04-2013,0
14-04-2013,39.5
15-04-2013,23.6
16-04-2013,2
17-04-2013,32.8
18-04-2013,15.8
19-04-2013,0
20-04-2013,0.1
21-04-2013,1.3
22-04-2013,1.2
23-04-2013,1.6
24-04-2013,8888
25-04-2013,33.5
26-04-2013,8.1
27-04-2013,8888
28-04-2013,0.8
29-04-2013,0
30-04-2013,8888
01-05-2013,0
02-05-2013,11.6
03-05-2013,10.5
04-05-2013,0
05-05-2013,32
06-05-2013,8888
07-05-2013,3.1
08-05-2013,2.3
09-05-2013,12.5
10-05-2013,5.7
11-05-2013,3.1
12-05-2013,8888
13-05-2013,0
14-05-2013,0
15-05-2013,8888
16-05-2013,4.5
17-05-2013,0
18-05-2013,2.4
19-05-2013,8888
20-05-2013,11.2
21-05-2013,1.6
22-05-2013,8888
23-05-2013,0
24-05-2013,67.3
25-05-2013,0
26-05-2013,3.8
27-05-2013,0.1
28-05-2013,7.3
29-05-2013,0
30-05-2013,3.8
31-05-2013,0
01-06-2013,0
02-06-2013,0
03-06-2013,5.2
04-06-2013,8888
05-06-2013,0
06-06-2013,0
07-06-2013,0
08-06-2013,33.5
09-06-2013,1.7
10-06-2013,1.3
11-06-2013,0
12-06-2013,0
13-06-2013,0
14-06-2013,0
15-06-2013,0
16-06-2013,3.4
17-06-2013,0
18-06-2013,0
19-06-2013,0
20-06-2013,0
21-06-2013,0
22-06-2013,0
23-06-2013,0
24-06-2013,0
25-06-2013,32.5
26-06-2013,0
27-06-2013,0
28-06-2013,8888
29-06-2013,8888
30-06-2013,5.4
01-07-2013,3.1
02-07-2013,3.1
03-07-2013,0
04-07-2013,46.3
05-07-2013,0
06-07-2013,0
07-07-2013,0
08-07-2013,4.2
09-07-2013,7
10-07-2013,8888
11-07-2013,8888
12-07-2013,1.1
13-07-2013,0
14-07-2013,27.7
15-07-2013,0
16-07-2013,0.4
17-07-2013,0.2
18-07-2013,8888
19-07-2013,0
20-07-2013,4.6
21-07-2013,0.6
22-07-2013,0
23-07-2013,0
24-07-2013,0
25-07-2013,2
26-07-2013,0
27-07-2013,19.5
28-07-2013,31
29-07-2013,11.6
30-07-2013,26.5
31-07-2013,20.2
01-08-2013,23
02-08-2013,0
03-08-2013,0
04-08-2013,0
05-08-2013,5.2
06-08-2013,0
07-08-2013,17.1
08-08-2013,0.4
09-08-2013,0
10-08-2013,2.5
11-08-2013,0
12-08-2013,0
13-08-2013,0
14-08-2013,0
15-08-2013,0
16-08-2013,0
17-08-2013,3
18-08-2013,0
19-08-2013,0
20-08-2013,0
21-08-2013,0
22-08-2013,0
23-08-2013,0
24-08-2013,0
25-08-2013,2
26-08-2013,0
27-08-2013,19.5
28-08-2013,31
29-08-2013,11.6
30-08-2013,26.5
31-08-2013,20.2
01-09-2013,0.6
02-09-2013,8888
03-09-2013,4.6
04-09-2013,64.7
05-09-2013,69.8
06-09-2013,21.6
07-09-2013,0
08-09-2013,28.7
09-09-2013,2.2
10-09-2013,0.1
11-09-2013,0.4
12-09-2013,0
13-09-2013,0
14-09-2013,8888
15-09-2013,0
16-09-2013,0.9
17-09-2013,37.7
18-09-2013,0
19-09-2013,8888
20-09-2013,0
21-09-2013,0
22-09-2013,0
23-09-2013,0
24-09-2013,0
25-09-2013,0
26-09-2013,0
27-09-2013,0
28-09-2013,4.1
29-09-2013,0
30-09-2013,0
01-10-2013,4.3
02-10-2013,28.4
03-10-2013,11.2
04-10-2013,0
05-10-2013,20.2
06-10-2013,0
07-10-2013,40.4
08-10-2013,5.8
09-10-2013,0
10-10-2013,6.1
11-10-2013,6.6
12-10-2013,0
13-10-2013,44
14-10-2013,38.5
15-10-2013,6
16-10-2013,0
17-10-2013,3.4
18-10-2013,10.4
19-10-2013,1
20-10-2013,40.8
21-10-2013,5
22-10-2013,1
23-10-2013,0
24-10-2013,0
25-10-2013,0
26-10-2013,7.2
27-10-2013,14.3
28-10-2013,6
29-10-2013,0.6
30-10-2013,0.1
31-10-2013,24
01-11-2013,1.7
02-11-2013,0.6
03-11-2013,0
04-11-2013,2.5
05-11-2013,10
06-11-2013,0
07-11-2013,0
08-11-2013,29.6
09-11-2013,0
10-11-2013,0.1
11-11-2013,0
12-11-2013,0.5
13-11-2013,18.4
14-11-2013,14.2
15-11-2013,13.1
16-11-2013,4.6
17-11-2013,37.7
18-11-2013,12.6
19-11-2013,2.7
20-11-2013,0
21-11-2013,0
22-11-2013,7.4
23-11-2013,0.1
24-11-2013,3.1
25-11-2013,1.7
26-11-2013,0
27-11-2013,10.1
28-11-2013,0
29-11-2013,0
30-11-2013,0
01-12-2013,0
02-12-2013,2.8
03-12-2013,17.5
04-12-2013,0
05-12-2013,0
06-12-2013,95.4
07-12-2013,0.8
08-12-2013,52.2
09-12-2013,8888
10-12-2013,26.5
11-12-2013,13.2
12-12-2013,11
13-12-2013,1.3
14-12-2013,9.5
15-12-2013,0
