Date;Main Camp;Sialang;Buring;Serindit;Lestari;Ramin
01/01/2021;24;22;20;21;24;24
01/02/2021;24;24;23;23;20;24
01/03/2021;23;21;20;24;28;24
01/04/2021;23;22;21;22;19;22
01/05/2021;23;24;25;23;20;21
01/06/2021;24;24;25;21;20;24
01/07/2021;25;24;25;24;19;23
01/08/2021;26;25;23;23;19;23
01/09/2021;23;25;23;24;21;24
01/10/2021;22;24;22;23;20;23
01/11/2021;22;24;26;21;21;24
01/12/2021;24;25;24;24;21;25
1/13/21;24;24;23;23;20;23
1/14/21;21;22;21;23;20;21
1/15/21;29;23;22;23;20;23
1/16/21;29;24;23;24;20;24
1/17/21;25;22;23;25;20;25
1/18/21;23;22;23;22;20;23
1/19/21;21;23;23;22;20;25
1/20/21;22;21;20;23;18;23
1/21/21;21;20;21;24;18;22
1/22/21;26;21;23;22;19;23
1/23/21;24;21;21;23;19;23
1/24/21;23;22;21;21;21;23
1/25/21;22;22;23;22;19;21
1/26/21;26;24;23;23;20;25
1/27/21;25;24;23;23;21;22
1/28/21;22;22;22;23;20;21
1/29/21;21;24;23;23;20;21
1/30/21;20;24;24;23;20;22
1/31/21;23;24;22;25;20;21
02/01/2021;25;23;24;24;20;21
02/02/2021;35;22;23;26;20;22
02/03/2021;22;23;23;23;20;28
02/04/2021;25;23;23;22;19;25
02/05/2021;24;22;20;24;18;20
02/06/2021;26;23;25;23;19;27
02/07/2021;24;23;22;25;20;25
02/08/2021;25;24;23;22;19;23
02/09/2021;23;24;22;23;20;24
02/10/2021;25;25;24;24;20;22
02/11/2021;27;21;22;25;19;23
02/12/2021;25;22;23;22;20;25
2/13/21;22;20;22;22;19;22
2/14/21;26;24;24;25;22;22
2/15/21;31;22;22;23;20;25
2/16/21;22;22;22;24;18;22
2/17/21;22;22;24;24;19;23
2/18/21;22;23;22;23;20;25
2/19/21;21;21;22;22;17;21
2/20/21;22;19;20;23;15;22
2/21/21;20;21;22;24;18;20
2/22/21;21;22;22;22;18;22
2/23/21;24;23;22;23;18;25
2/24/21;21;21;20;24;19;25
2/25/21;19;24;23;24;20;20
2/26/21;23;24;23;25;19;23
2/27/21;23;22;23;24;19;25
2/28/21;21;22;25;24;20;23
03/01/2021;22;22;22;23;19;25
03/02/2021;23;24;23;24;20;24
03/03/2021;22;23;22;21;20;28
03/04/2021;21;23;21;23;20;29
03/05/2021;20;22;22;24;20;25
03/06/2021;22;22;22;22;21;24
03/07/2021;22;22;22;22;20;22
03/08/2021;23;23;21;21;20;25
03/09/2021;21;24;23;23;19;24
03/10/2021;23;23;23;20;20;25
03/11/2021;24;22;22;22;19;23
