Date;Main Camp;Sialang;Buring;Serindit;Lestari;Ramin
1/1/21;29;25;26;25;28;25
1/2/21;29;25;26;25;28;25
1/3/21;29;25;26;25;28;25
1/4/21;29;25;26;25;28;25
1/5/21;29;25;26;25;28;25
1/6/21;29;25;26;25;28;25
1/7/21;29;25;26;25;28;25
1/8/21;29;25;26;25;28;25
1/9/21;29;25;26;25;28;25
1/10/21;29;25;26;25;28;25
1/11/21;29;25;26;25;28;25
1/12/21;29;25;26;25;28;25
1/13/21;29;25;26;25;28;25
1/14/21;29;25;26;25;28;25
1/15/21;29;25;26;25;28;25
1/16/21;29;25;26;25;28;25
1/17/21;29;25;26;25;28;25
1/18/21;29;25;26;25;28;25
1/19/21;29;25;26;25;28;25
1/20/21;29;25;26;25;28;25
1/21/21;29;25;26;25;28;25
1/22/21;29;25;26;25;28;25
1/23/21;29;25;26;25;28;25
1/24/21;29;25;26;25;28;25
1/25/21;29;25;26;25;28;25
1/26/21;29;25;26;25;28;25
1/27/21;29;25;26;25;28;25
1/28/21;29;25;26;25;28;25
1/29/21;29;25;26;25;28;25
1/30/21;29;25;26;25;28;25
1/31/21;29;25;26;25;28;25
2/1/21;35;25;25;26;22;28
2/2/21;35;25;25;26;22;28
2/3/21;35;25;25;26;22;28
2/4/21;35;25;25;26;22;28
2/5/21;35;25;25;26;22;28
2/6/21;35;25;25;26;22;28
2/7/21;35;25;25;26;22;28
2/8/21;35;25;25;26;22;28
2/9/21;35;25;25;26;22;28
2/10/21;35;25;25;26;22;28
2/11/21;35;25;25;26;22;28
2/12/21;35;25;25;26;22;28
2/13/21;35;25;25;26;22;28
2/14/21;35;25;25;26;22;28
2/15/21;35;25;25;26;22;28
2/16/21;35;25;25;26;22;28
2/17/21;35;25;25;26;22;28
2/18/21;35;25;25;26;22;28
2/19/21;35;25;25;26;22;28
2/20/21;35;25;25;26;22;28
2/21/21;35;25;25;26;22;28
2/22/21;35;25;25;26;22;28
2/23/21;35;25;25;26;22;28
2/24/21;35;25;25;26;22;28
2/25/21;35;25;25;26;22;28
2/26/21;35;25;25;26;22;28
2/27/21;35;25;25;26;22;28
2/28/21;35;25;25;26;22;28
3/1/21;36;25;25;24;21;30
3/2/21;36;25;25;24;21;30
3/3/21;36;25;25;24;21;30
3/4/21;36;25;25;24;21;30
3/5/21;36;25;25;24;21;30
3/6/21;36;25;25;24;21;30
3/7/21;36;25;25;24;21;30
3/8/21;36;25;25;24;21;30
3/9/21;36;25;25;24;21;30
3/10/21;36;25;25;24;21;30
3/11/21;36;25;25;24;21;30
3/12/21;36;25;25;24;21;30
3/13/21;36;25;25;24;21;30
3/14/21;36;25;25;24;21;30
3/15/21;36;25;25;24;21;30
3/16/21;36;25;25;24;21;30
3/17/21;36;25;25;24;21;30
3/18/21;36;25;25;24;21;30
3/19/21;36;25;25;24;21;30
3/20/21;36;25;25;24;21;30
3/21/21;36;25;25;24;21;30
3/22/21;36;25;25;24;21;30
3/23/21;36;25;25;24;21;30
3/24/21;36;25;25;24;21;30
3/25/21;36;25;25;24;21;30
3/26/21;36;25;25;24;21;30
3/27/21;36;25;25;24;21;30
3/28/21;36;25;25;24;21;30
3/29/21;36;25;25;24;21;30
3/30/21;36;25;25;24;21;30
3/31/21;36;25;25;24;21;30
4/1/21;42;28;25;27;25;30
4/2/21;42;28;25;27;25;30
4/3/21;42;28;25;27;25;30
4/4/21;42;28;25;27;25;30
4/5/21;42;28;25;27;25;30
4/6/21;42;28;25;27;25;30
4/7/21;42;28;25;27;25;30
4/8/21;42;28;25;27;25;30
4/9/21;42;28;25;27;25;30
4/10/21;42;28;25;27;25;30
4/11/21;42;28;25;27;25;30
4/12/21;42;28;25;27;25;30
4/13/21;42;28;25;27;25;30
4/14/21;42;28;25;27;25;30
4/15/21;42;28;25;27;25;30
4/16/21;42;28;25;27;25;30
4/17/21;42;28;25;27;25;30
4/18/21;42;28;25;27;25;30
4/19/21;42;28;25;27;25;30
4/20/21;42;28;25;27;25;30
4/21/21;42;28;25;27;25;30
4/22/21;42;28;25;27;25;30
4/23/21;42;28;25;27;25;30
4/24/21;42;28;25;27;25;30
4/25/21;42;28;25;27;25;30
4/26/21;42;28;25;27;25;30
4/27/21;42;28;25;27;25;30
4/28/21;42;28;25;27;25;30
4/29/21;42;28;25;27;25;30
4/30/21;42;28;25;27;25;30
5/1/21;35;26;26;26;22;25
5/2/21;35;26;26;26;22;25
5/3/21;35;26;26;26;22;25
5/4/21;35;26;26;26;22;25
5/5/21;35;26;26;26;22;25
5/6/21;35;26;26;26;22;25
5/7/21;35;26;26;26;22;25
5/8/21;35;26;26;26;22;25
5/9/21;35;26;26;26;22;25
5/10/21;35;26;26;26;22;25
5/11/21;35;26;26;26;22;25
5/12/21;35;26;26;26;22;25
5/13/21;35;26;26;26;22;25
5/14/21;35;26;26;26;22;25
5/15/21;35;26;26;26;22;25
5/16/21;35;26;26;26;22;25
5/17/21;35;26;26;26;22;25
5/18/21;35;26;26;26;22;25
5/19/21;35;26;26;26;22;25
5/20/21;35;26;26;26;22;25
5/21/21;35;26;26;26;22;25
5/22/21;35;26;26;26;22;25
5/23/21;35;26;26;26;22;25
5/24/21;35;26;26;26;22;25
5/25/21;35;26;26;26;22;25
5/26/21;35;26;26;26;22;25
5/27/21;35;26;26;26;22;25
5/28/21;35;26;26;26;22;25
5/29/21;35;26;26;26;22;25
5/30/21;35;26;26;26;22;25
5/31/21;35;26;26;26;22;25
6/1/21;33;25;25;25;21;25
6/2/21;33;25;25;25;21;25
6/3/21;33;25;25;25;21;25
6/4/21;33;25;25;25;21;25
6/5/21;33;25;25;25;21;25
6/6/21;33;25;25;25;21;25
6/7/21;33;25;25;25;21;25
6/8/21;33;25;25;25;21;25
6/9/21;33;25;25;25;21;25
6/10/21;33;25;25;25;21;25
6/11/21;33;25;25;25;21;25
6/12/21;33;25;25;25;21;25
6/13/21;33;25;25;25;21;25
6/14/21;33;25;25;25;21;25
6/15/21;33;25;25;25;21;25
6/16/21;33;25;25;25;21;25
6/17/21;33;25;25;25;21;25
6/18/21;33;25;25;25;21;25
6/19/21;33;25;25;25;21;25
6/20/21;33;25;25;25;21;25
6/21/21;33;25;25;25;21;25
6/22/21;33;25;25;25;21;25
6/23/21;33;25;25;25;21;25
6/24/21;33;25;25;25;21;25
6/25/21;33;25;25;25;21;25
6/26/21;33;25;25;25;21;25
6/27/21;33;25;25;25;21;25
6/28/21;33;25;25;25;21;25
6/29/21;33;25;25;25;21;25
6/30/21;33;25;25;25;21;25
7/1/21;38;25;25;25;21;25
7/2/21;38;25;25;25;21;25
7/3/21;38;25;25;25;21;25
7/4/21;38;25;25;25;21;25
7/5/21;38;25;25;25;21;25
7/6/21;38;25;25;25;21;25
7/7/21;38;25;25;25;21;25
7/8/21;38;25;25;25;21;25
7/9/21;38;25;25;25;21;25
7/10/21;38;25;25;25;21;25
7/11/21;38;25;25;25;21;25
7/12/21;38;25;25;25;21;25
7/13/21;38;25;25;25;21;25
7/14/21;38;25;25;25;21;25
7/15/21;38;25;25;25;21;25
7/16/21;38;25;25;25;21;25
7/17/21;38;25;25;25;21;25
7/18/21;38;25;25;25;21;25
7/19/21;38;25;25;25;21;25
7/20/21;38;25;25;25;21;25
7/21/21;38;25;25;25;21;25
7/22/21;38;25;25;25;21;25
7/23/21;38;25;25;25;21;25
7/24/21;38;25;25;25;21;25
7/25/21;38;25;25;25;21;25
7/26/21;38;25;25;25;21;25
7/27/21;38;25;25;25;21;25
7/28/21;38;25;25;25;21;25
7/29/21;38;25;25;25;21;25
7/30/21;38;25;25;25;21;25
7/31/21;38;25;25;25;21;25
8/1/21;35;28;24;25;24;25
8/2/21;35;28;24;25;24;25
8/3/21;35;28;24;25;24;25
8/4/21;35;28;24;25;24;25
8/5/21;35;28;24;25;24;25
8/6/21;35;28;24;25;24;25
8/7/21;35;28;24;25;24;25
8/8/21;35;28;24;25;24;25
8/9/21;35;28;24;25;24;25
8/10/21;35;28;24;25;24;25
8/11/21;35;28;24;25;24;25
8/12/21;35;28;24;25;24;25
8/13/21;35;28;24;25;24;25
8/14/21;35;28;24;25;24;25
8/15/21;35;28;24;25;24;25
8/16/21;35;28;24;25;24;25
8/17/21;35;28;24;25;24;25
8/18/21;35;28;24;25;24;25
8/19/21;35;28;24;25;24;25
8/20/21;35;28;24;25;24;25
8/21/21;35;28;24;25;24;25
8/22/21;35;28;24;25;24;25
8/23/21;35;28;24;25;24;25
8/24/21;35;28;24;25;24;25
8/25/21;35;28;24;25;24;25
8/26/21;35;28;24;25;24;25
8/27/21;35;28;24;25;24;25
8/28/21;35;28;24;25;24;25
8/29/21;35;28;24;25;24;25
8/30/21;35;28;24;25;24;25
8/31/21;35;28;24;25;24;25
9/1/21;40;25;25;25;21;25
9/2/21;40;25;25;25;21;25
9/3/21;40;25;25;25;21;25
9/4/21;40;25;25;25;21;25
9/5/21;40;25;25;25;21;25
9/6/21;40;25;25;25;21;25
9/7/21;40;25;25;25;21;25
9/8/21;40;25;25;25;21;25
9/9/21;40;25;25;25;21;25
9/10/21;40;25;25;25;21;25
9/11/21;40;25;25;25;21;25
9/12/21;40;25;25;25;21;25
9/13/21;40;25;25;25;21;25
9/14/21;40;25;25;25;21;25
9/15/21;40;25;25;25;21;25
9/16/21;40;25;25;25;21;25
9/17/21;40;25;25;25;21;25
9/18/21;40;25;25;25;21;25
9/19/21;40;25;25;25;21;25
9/20/21;40;25;25;25;21;25
9/21/21;40;25;25;25;21;25
9/22/21;40;25;25;25;21;25
9/23/21;40;25;25;25;21;25
9/24/21;40;25;25;25;21;25
9/25/21;40;25;25;25;21;25
9/26/21;40;25;25;25;21;25
9/27/21;40;25;25;25;21;25
9/28/21;40;25;25;25;21;25
9/29/21;40;25;25;25;21;25
9/30/21;40;25;25;25;21;25
10/1/21;36;25;25;34;21;30
10/2/21;36;25;25;34;21;30
10/3/21;36;25;25;34;21;30
10/4/21;36;25;25;34;21;30
10/5/21;36;25;25;34;21;30
10/6/21;36;25;25;34;21;30
10/7/21;36;25;25;34;21;30
10/8/21;36;25;25;34;21;30
10/9/21;36;25;25;34;21;30
10/10/21;36;25;25;34;21;30
10/11/21;36;25;25;34;21;30
10/12/21;36;25;25;34;21;30
10/13/21;36;25;25;34;21;30
10/14/21;36;25;25;34;21;30
10/15/21;36;25;25;34;21;30
10/16/21;36;25;25;34;21;30
10/17/21;36;25;25;34;21;30
10/18/21;36;25;25;34;21;30
10/19/21;36;25;25;34;21;30
10/20/21;36;25;25;34;21;30
10/21/21;36;25;25;34;21;30
10/22/21;36;25;25;34;21;30
10/23/21;36;25;25;34;21;30
10/24/21;36;25;25;34;21;30
10/25/21;36;25;25;34;21;30
10/26/21;36;25;25;34;21;30
10/27/21;36;25;25;34;21;30
10/28/21;36;25;25;34;21;30
10/29/21;36;25;25;34;21;30
10/30/21;36;25;25;34;21;30
10/31/21;36;25;25;34;21;30
11/1/21;39;29;27;24;21;30
11/2/21;39;29;27;24;21;30
11/3/21;39;29;27;24;21;30
11/4/21;39;29;27;24;21;30
11/5/21;39;29;27;24;21;30
11/6/21;39;29;27;24;21;30
11/7/21;39;29;27;24;21;30
11/8/21;39;29;27;24;21;30
11/9/21;39;29;27;24;21;30
11/10/21;39;29;27;24;21;30
11/11/21;39;29;27;24;21;30
11/12/21;39;29;27;24;21;30
11/13/21;39;29;27;24;21;30
11/14/21;39;29;27;24;21;30
11/15/21;39;29;27;24;21;30
11/16/21;39;29;27;24;21;30
11/17/21;39;29;27;24;21;30
11/18/21;39;29;27;24;21;30
11/19/21;39;29;27;24;21;30
11/20/21;39;29;27;24;21;30
11/21/21;39;29;27;24;21;30
11/22/21;39;29;27;24;21;30
11/23/21;39;29;27;24;21;30
11/24/21;39;29;27;24;21;30
11/25/21;39;29;27;24;21;30
11/26/21;39;29;27;24;21;30
11/27/21;39;29;27;24;21;30
11/28/21;39;29;27;24;21;30
11/29/21;39;29;27;24;21;30
11/30/21;39;29;27;24;21;30
12/1/21;35;25;25;25;23;25
