Date;Main Camp;Sialang;Buring;Serindit;Lestari;Ramin
1/1/21;20;20;20;21;18;21
1/2/21;20;20;20;21;18;21
1/3/21;20;20;20;21;18;21
1/4/21;20;20;20;21;18;21
1/5/21;20;20;20;21;18;21
1/6/21;20;20;20;21;18;21
1/7/21;20;20;20;21;18;21
1/8/21;20;20;20;21;18;21
1/9/21;20;20;20;21;18;21
1/10/21;20;20;20;21;18;21
1/11/21;20;20;20;21;18;21
1/12/21;20;20;20;21;18;21
1/13/21;20;20;20;21;18;21
1/14/21;20;20;20;21;18;21
1/15/21;20;20;20;21;18;21
1/16/21;20;20;20;21;18;21
1/17/21;20;20;20;21;18;21
1/18/21;20;20;20;21;18;21
1/19/21;20;20;20;21;18;21
1/20/21;20;20;20;21;18;21
1/21/21;20;20;20;21;18;21
1/22/21;20;20;20;21;18;21
1/23/21;20;20;20;21;18;21
1/24/21;20;20;20;21;18;21
1/25/21;20;20;20;21;18;21
1/26/21;20;20;20;21;18;21
1/27/21;20;20;20;21;18;21
1/28/21;20;20;20;21;18;21
1/29/21;20;20;20;21;18;21
1/30/21;20;20;20;21;18;21
1/31/21;20;20;20;21;18;21
2/1/21;19;19;20;22;15;20
2/2/21;19;19;20;22;15;20
2/3/21;19;19;20;22;15;20
2/4/21;19;19;20;22;15;20
2/5/21;19;19;20;22;15;20
2/6/21;19;19;20;22;15;20
2/7/21;19;19;20;22;15;20
2/8/21;19;19;20;22;15;20
2/9/21;19;19;20;22;15;20
2/10/21;19;19;20;22;15;20
2/11/21;19;19;20;22;15;20
2/12/21;19;19;20;22;15;20
2/13/21;19;19;20;22;15;20
2/14/21;19;19;20;22;15;20
2/15/21;19;19;20;22;15;20
2/16/21;19;19;20;22;15;20
2/17/21;19;19;20;22;15;20
2/18/21;19;19;20;22;15;20
2/19/21;19;19;20;22;15;20
2/20/21;19;19;20;22;15;20
2/21/21;19;19;20;22;15;20
2/22/21;19;19;20;22;15;20
2/23/21;19;19;20;22;15;20
2/24/21;19;19;20;22;15;20
2/25/21;19;19;20;22;15;20
2/26/21;19;19;20;22;15;20
2/27/21;19;19;20;22;15;20
2/28/21;19;19;20;22;15;20
3/1/21;20;21;20;20;18;22
3/2/21;20;21;20;20;18;22
3/3/21;20;21;20;20;18;22
3/4/21;20;21;20;20;18;22
3/5/21;20;21;20;20;18;22
3/6/21;20;21;20;20;18;22
3/7/21;20;21;20;20;18;22
3/8/21;20;21;20;20;18;22
3/9/21;20;21;20;20;18;22
3/10/21;20;21;20;20;18;22
3/11/21;20;21;20;20;18;22
3/12/21;20;21;20;20;18;22
3/13/21;20;21;20;20;18;22
3/14/21;20;21;20;20;18;22
3/15/21;20;21;20;20;18;22
3/16/21;20;21;20;20;18;22
3/17/21;20;21;20;20;18;22
3/18/21;20;21;20;20;18;22
3/19/21;20;21;20;20;18;22
3/20/21;20;21;20;20;18;22
3/21/21;20;21;20;20;18;22
3/22/21;20;21;20;20;18;22
3/23/21;20;21;20;20;18;22
3/24/21;20;21;20;20;18;22
3/25/21;20;21;20;20;18;22
3/26/21;20;21;20;20;18;22
3/27/21;20;21;20;20;18;22
3/28/21;20;21;20;20;18;22
3/29/21;20;21;20;20;18;22
3/30/21;20;21;20;20;18;22
3/31/21;20;21;20;20;18;22
4/1/21;20;20;20;20;18;21
4/2/21;20;20;20;20;18;21
4/3/21;20;20;20;20;18;21
4/4/21;20;20;20;20;18;21
4/5/21;20;20;20;20;18;21
4/6/21;20;20;20;20;18;21
4/7/21;20;20;20;20;18;21
4/8/21;20;20;20;20;18;21
4/9/21;20;20;20;20;18;21
4/10/21;20;20;20;20;18;21
4/11/21;20;20;20;20;18;21
4/12/21;20;20;20;20;18;21
4/13/21;20;20;20;20;18;21
4/14/21;20;20;20;20;18;21
4/15/21;20;20;20;20;18;21
4/16/21;20;20;20;20;18;21
4/17/21;20;20;20;20;18;21
4/18/21;20;20;20;20;18;21
4/19/21;20;20;20;20;18;21
4/20/21;20;20;20;20;18;21
4/21/21;20;20;20;20;18;21
4/22/21;20;20;20;20;18;21
4/23/21;20;20;20;20;18;21
4/24/21;20;20;20;20;18;21
4/25/21;20;20;20;20;18;21
4/26/21;20;20;20;20;18;21
4/27/21;20;20;20;20;18;21
4/28/21;20;20;20;20;18;21
4/29/21;20;20;20;20;18;21
4/30/21;20;20;20;20;18;21
5/1/21;21;22;20;21;19;20
5/2/21;21;22;20;21;19;20
5/3/21;21;22;20;21;19;20
5/4/21;21;22;20;21;19;20
5/5/21;21;22;20;21;19;20
5/6/21;21;22;20;21;19;20
5/7/21;21;22;20;21;19;20
5/8/21;21;22;20;21;19;20
5/9/21;21;22;20;21;19;20
5/10/21;21;22;20;21;19;20
5/11/21;21;22;20;21;19;20
5/12/21;21;22;20;21;19;20
5/13/21;21;22;20;21;19;20
5/14/21;21;22;20;21;19;20
5/15/21;21;22;20;21;19;20
5/16/21;21;22;20;21;19;20
5/17/21;21;22;20;21;19;20
5/18/21;21;22;20;21;19;20
5/19/21;21;22;20;21;19;20
5/20/21;21;22;20;21;19;20
5/21/21;21;22;20;21;19;20
5/22/21;21;22;20;21;19;20
5/23/21;21;22;20;21;19;20
5/24/21;21;22;20;21;19;20
5/25/21;21;22;20;21;19;20
5/26/21;21;22;20;21;19;20
5/27/21;21;22;20;21;19;20
5/28/21;21;22;20;21;19;20
5/29/21;21;22;20;21;19;20
5/30/21;21;22;20;21;19;20
5/31/21;21;22;20;21;19;20
6/1/21;21;20;20;20;18;20
6/2/21;21;20;20;20;18;20
6/3/21;21;20;20;20;18;20
6/4/21;21;20;20;20;18;20
6/5/21;21;20;20;20;18;20
6/6/21;21;20;20;20;18;20
6/7/21;21;20;20;20;18;20
6/8/21;21;20;20;20;18;20
6/9/21;21;20;20;20;18;20
6/10/21;21;20;20;20;18;20
6/11/21;21;20;20;20;18;20
6/12/21;21;20;20;20;18;20
6/13/21;21;20;20;20;18;20
6/14/21;21;20;20;20;18;20
6/15/21;21;20;20;20;18;20
6/16/21;21;20;20;20;18;20
6/17/21;21;20;20;20;18;20
6/18/21;21;20;20;20;18;20
6/19/21;21;20;20;20;18;20
6/20/21;21;20;20;20;18;20
6/21/21;21;20;20;20;18;20
6/22/21;21;20;20;20;18;20
6/23/21;21;20;20;20;18;20
6/24/21;21;20;20;20;18;20
6/25/21;21;20;20;20;18;20
6/26/21;21;20;20;20;18;20
6/27/21;21;20;20;20;18;20
6/28/21;21;20;20;20;18;20
