Date;MC;RA;BU;LE;SE;SI
01/01/2021;-11;-1;NA;-39;-15;3
01/02/2021;-12;-1;NA;-42;-15;6
01/03/2021;-13;-2;NA;-43;-15;7
01/04/2021;-11;0;NA;-36;-5;10
01/05/2021;-11;-2;NA;-40;-10;8
01/06/2021;-12;-3;NA;-42;-12;8
01/07/2021;-12;-2;NA;-41;-14;5
01/08/2021;-13;-4;NA;-43;-15;7
01/09/2021;-13;-2;NA;-40;-15;4
01/10/2021;-13;-2;NA;-33;-13;2
01/11/2021;-12;-3;NA;-38;-8;3
01/12/2021;-11;4;NA;-25;-10;3
1/13/21;-11;4;NA;-25;-2;0
1/14/21;-11;14;NA;-25;-2;8
1/15/21;-12;4;NA;-29;15;8
1/16/21;-13;3;NA;-33;-6;5
1/17/21;-14;2;NA;-34;-11;5
1/18/21;-11;0;NA;-37;-12;10
1/19/21;-11;0;NA;-40;-13;9
1/20/21;-12;-1;NA;-45;-14;8
1/21/21;-13;-3;NA;NA;-15;7
1/22/21;-12;-4;NA;-49;-17;5
1/23/21;-13;-5;NA;-50;-18;4
1/24/21;-13;-6;NA;-54;-19;3
1/25/21;-13;-7;NA;-53;-20;2
1/26/21;-13;-8;NA;-52;-17;15
1/27/21;-13;-9;NA;-52;-18;13
1/28/21;-13;-10;NA;-53;-19;11
1/29/21;-13;-11;NA;-53;-20;9
1/30/21;-12;-11;NA;-53;-21;8
1/31/21;-14;-12;NA;-55;-21;6
02/01/2021;-14;-12;NA;-56;-23;5
02/02/2021;-15;-11;NA;-57;-24;6
02/03/2021;-16;-13;NA;-58;-24;5
02/04/2021;-17;-14;NA;-57;-21;3
02/05/2021;-34;-30;NA;-114;-44;6
02/06/2021;-18;-16;NA;-58;-22;3
02/07/2021;-16;-16;NA;-59;-23;2
02/08/2021;-17;-17;6;-58;-24;1
02/09/2021;-19;-17;7;-58;-25;9
02/10/2021;-20;-16;4;-60;-25;0
02/11/2021;-20;-12;18;-55;-25;0
02/12/2021;-21;-15;3;-55;-12;-1
2/13/21;-20;-15;3;-56;-12;-1
2/14/21;-15;-16;3;-51;-12;-2
2/15/21;-15;-16;5;-52;-11;0
2/16/21;-16;-17;6;-53;-12;-1
2/17/21;-16;-17;-7;-54;-12;-2
2/18/21;-12;-19;-5;-49;-9;-1
2/19/21;-12;-16;2;-55;-8;0
2/20/21;-13;-14;2;-56;-9;-1
2/21/21;-14;-16;3;-55;-10;-1
2/22/21;-14;-17;0;-56;-10;-2
2/23/21;-16;-19;-1.5;-57;-11;-3
2/24/21;-17;-20;-5;-53;-11;-3
2/25/21;-17;-20;-82;-39;-8;-4
2/26/21;-17;-19;-77;-45;-5;-2
2/27/21;-15;-19;-83;-42;-5;-3
2/28/21;-16;-19;-86;-43;-1;-3
03/01/2021;-19;-20;-86;-45;-1;-4
03/02/2021;-20;-21;-86;-45;-2;-5
03/03/2021;-18;-21;-86;-48;-1;0
03/04/2021;-19;-21;-88;-50;-1;-3
03/05/2021;-18;-22;-88;-51;-6;-4
03/06/2021;-19;-23;-88;-51;-7;-4
03/07/2021;-12;-19;-88;-30;2;3
03/08/2021;0;-20;-78;-20;1;0
03/09/2021;-5;-21;-68;-21;0;0
03/10/2021;-11;-21;-65;-22;-2;-1
03/11/2021;-12;-22;-70;-23;-3;0
03/12/2021;-11;-23;-73;-39;-3;-2
3/13/21;-12;-25;-75;-40;-4;-4
3/14/21;-12;-23;-77;-47;-2;0
3/15/21;-12;-24;-77;-48;-3;-8
3/16/21;-14;-24;-78;-48;-4;-8
3/17/21;-12;-23;-80;-49;-4;-8
3/18/21;-11;-20;-82;-48;-5;2
3/19/21;-11;-20;-84;-40;-4;1
3/20/21;-11;-20;-85;-47;-4;0
3/21/21;-12;-21;-72;-48;0;2
3/22/21;-14;-20;-65;-49;0;2
3/23/21;-12;-18;-56;-44;1;5
3/24/21;-10;-17;-55;-43;2;3
3/25/21;-9;-12;-40;-41;2;5
3/26/21;-10;-14;-42;-41;0;5
3/27/21;-12;-14;-42;-42;0;3
3/28/21;-12;-12;-20;-45;-2;5
3/29/21;-14;-12;-33;-47;2;1
3/30/21;-12;-7;-38;-43;1;2
3/31/21;-11;-3;-35;-32;12;2
04/01/2021;-8;-5;-26;-40;8;6
04/02/2021;-9;-7;-23;-40;7;4
04/03/2021;-11;-4;-18;-40;5;7
04/04/2021;-11;-9;-15;-41;3;3
04/05/2021;-12;-12;-15;-42;1;3
04/06/2021;-13;-11;-19;-53;2;1
04/07/2021;-11;-11;-19;-55;3;2
04/08/2021;-12;-7;-12;-49;6;4
04/09/2021;NA;NA;-13;NA;NA;7
04/10/2021;NA;NA;-14;NA;NA;6
04/11/2021;NA;NA;-11;NA;NA;8
04/12/2021;NA;NA;-15;NA;NA;0
4/13/21;-7;-11;-9;-47;5;2
4/14/21;-3;-9;-6;-58;6;2
4/15/21;-6;-10;1;-42;5;4
4/16/21;-9;-10;-2;-44;2;5
4/17/21;-9;-10;-7;-46;1;10
4/18/21;-10;-10;-9;-47;0;12
4/19/21;-10;NA;-14;-48;-1;10
4/20/21;-10;NA;3;-54;NA;3
4/21/21;-10;-11;3;-62;-2;7
4/22/21;-10;-11;3;-62;-3;6
4/23/21;-10;1;-3;-42;7;10
4/24/21;-11;-1;3;-44;4;7
4/25/21;-11;-3;3;-47;5;5
4/26/21;-12;-4;11;-48;5;4
4/27/21;-13;-3;8;-51;1;4
4/28/21;-15;-6;3;-51;1;2
4/29/21;-16;-7;-3;-53;-4;1
4/30/21;-8;-8;0;-42;0;7
05/01/2021;-10;-10;-9;-32;-4;-3
05/02/2021;NA;-10;-8;-35;-5;0
05/03/2021;NA;-11;-11;-34;-6;0
05/04/2021;NA;-11;-23;-33;-8;0
05/05/2021;-12;-12;-20;-32;-8;6
05/06/2021;-12;-13;-22;-40;-8;4
05/07/2021;-11;-13;-18;-32;-9;7
05/08/2021;-12;-13;-24;-32;-9;5
05/09/2021;-14;-15;-21;-35;-10;5
05/10/2021;-13;-15;-27;-37;-10;6
05/11/2021;-15;-15;-24;-42;-11;4
05/12/2021;-16;-17;-52;-44;-11;5
5/13/21;-9;-17;-57;-43;-10;3
5/14/21;-8;-18;-61;-44;-10;3
5/15/21;-8;-18;-40;-44;-8;27
5/16/21;-9;-16;-26;-44;4;11
5/17/21;-10;-16;-40;-44;10;7
5/18/21;-5;-13;-15;-44;10;14
5/19/21;-6;-14;-12;-44;10;12
5/20/21;-7;-15;-19;-34;7;15
5/21/21;-7;-16;-23;-36;6;15
5/22/21;-8;-16;-28;-32;7;12
5/23/21;-8;-17;-29;-33;5;13
5/24/21;-9;-18;-27;-34;4;13
5/25/21;-10;-19;-34;-38;4;7
5/26/21;-10;-20;-50;-40;3;6
5/27/21;-11;-21;-56;-41;3;4
5/28/21;-11;-20;-62;-41;1;5
5/29/21;-11;-20;-52;-37;0;7
5/30/21;-10;-21;-58;-39;0;5
5/31/21;-5.5;-22;-64;-41;-1;4
06/01/2021;-12;-22;57;-42;1;4
06/02/2021;-12;-23;-70;-44;-1;3
06/03/2021;-12;-24;-72;-45;-1;2
06/04/2021;-13;-24;-75;-48;-2;1
06/05/2021;-13;-25;-81;-49;-2;-5
06/06/2021;-15;-25;-82;-50;-3;-2
06/07/2021;-14;-26;-83;-51;-3;-2
06/08/2021;-11;-25;-84;-45;-2;-2
06/09/2021;-12;-25;-84;-45;-3;-3
06/10/2021;-14;-26;-85;-46;-4;-3
06/11/2021;-13;-27;-65;-47;-4;-4
06/12/2021;-13;-25;-85;-49;-2;-4
6/13/21;-15;-29;-86;-51;-3;-5
6/14/21;-17;-30;-84;-51;-4;-6
6/15/21;-6;-26;-85;-52;-2;-4
6/16/21;-7;-21;-85;-51;-2;-3
6/17/21;-9;-22;-84;-52;-2;-3
6/18/21;-9;-21;-84;-41;1;-3
6/19/21;-9;-21;-84;-40;1;-8
6/20/21;-9;-22;-85;-42;-1;-4
6/21/21;-11;-23;-85;-45;-1;-4
6/22/21;-12;-24;-85;-46;-1;-5
6/23/21;-12;-23;-82;-49;-2;-5
6/24/21;-12;-20;-85;-47;-1;-8
6/25/21;-13;-27;-85;-53;-2;-8
6/26/21;-17;-27;-85;-54;-2;-8
6/27/21;-11;-23;-80;-49;-2;-5
6/28/21;-10;-24;-85;-47;-1;-7
6/29/21;-10;-24;-85;-44;-2;3
6/30/21;-9;-24;-68;-41;-1;-1
07/01/2021;-9;-25;-61;-42;-2;-3
07/02/2021;-10;-25;-60;-45;-2;-3
07/03/2021;-9;-24;-60;-45;-8;-7
07/04/2021;-10;-25;-62;-45;-8;-7
07/05/2021;-9;-24;-61;-41;-7;-4
07/06/2021;-10;-24;-60;-43;-9;-5
07/07/2021;-11;-25;-60;-44;-7;-7
07/08/2021;-11;-26;-60;-43;-7;-7
07/09/2021;-12;-26;-60;-46;-8;-8
07/10/2021;-12;-28;-62;-50;-10;-9
07/11/2021;-14;-27;-64;-49;-8;-7
07/12/2021;-14;-27;-69;-50;-9;-7
7/13/21;-8;-15;-67;-41;2;-4
7/14/21;-9;-14;-67;-39;0;-6
7/15/21;-9;-16;-70;-41;-1;-7
7/16/21;-9;-15;-73;-44;-1;-9
7/17/21;-9;-19;-75;-46;-2;-2
7/18/21;-9;-20;-77;-47;-2;-10
7/19/21;-8;-20;-80;-49;-3;-7
7/20/21;-10;-21;-80;-50;-3;-9
7/21/21;-4;-21;-82;-51;-4;-9
7/22/21;-2;-21;-82;-50;-1;-9
7/23/21;-12;-22;-82;-51;-5;-11
7/24/21;-11;-21;-67;-41;-3;-6
7/25/21;-12;-21;-79;-61;-4;-4
7/26/21;-13;-20;-82;-43;-4;-4
7/27/21;-15;-20;-82;-45;-5;-6
7/28/21;-15;-21;-82;-47;-5;-7
7/29/21;-17;-26;-82;-51;-6;-12
7/30/21;-20;-26;-82;-50;-7;-5
7/31/21;-17;-26;-82;-51;-8;-8
08/01/2021;-21;-26;-85;-50;-10;-3
08/02/2021;-21;-26;-83;-55;-7;-5
08/03/2021;-22;-26;-84;-47;-7;-5
08/04/2021;-15;-15;-83;-38;-5;-6
08/05/2021;-7;-10;-85;-45;-5;-9
08/06/2021;-9;-10;-84;-37;-6;-8
08/07/2021;-11;-11;-84;-39.3;-8;-9
08/08/2021;-11;-15;-85;-40.3;-8;-9
08/09/2021;-13;-16;-85;-44;-6;-10
08/10/2021;-13;-17;-84;-35.2;-7;-5
08/11/2021;-14;-16;-84;-45;-8;-8
08/12/2021;-15;-16;-85;-40;-8;-6
8/13/21;-16;-16;-85;-42;-9;-8
8/14/21;-16.5;-21;-84;-34;-6;-3
8/15/21;-11;-16;-85;-33;-5;-1
8/16/21;-5;-14;-85;-26;-4;0
8/17/21;-4.5;-20;-84;-25.2;-4;-3
8/18/21;-4;-20;-84;-24;-4;-2
8/19/21;-3.5;-19;-84;-22;-4;1
8/20/21;-2;-17;-82;-19;-5;9
8/21/21;-1;-14;-90;-18;-2;-1
8/22/21;-2;-15;-60;-21;-3;8
8/23/21;-4;-13;-35;-24;-4;11
8/24/21;-3;-11;-24;-19;-4;18
8/25/21;-3;-12;-28;-22;-4;15
8/26/21;-4;-12;-35;-25;-4;13
8/27/21;-5;-13;-45;-31;-6;11
8/28/21;-5;-13;-50;-32;-7;9
8/29/21;-5;-17;-56;-34;-6;6
8/30/21;-4;-13;-38;-35;-6;5
8/31/21;-4;-7;-13;-34;-4;10
09/01/2021;-4;-5;-13;-30;7;8
09/02/2021;-4;-7;-18;-31;6;9
09/03/2021;-4.5;-12;-22;-32.1;4;4
09/04/2021;-10;-7;-27;-30.1;5;1
09/05/2021;-11;-9;-27;-31.8;1;5
09/06/2021;-11;-9;-29;-30.8;-4;4
09/07/2021;-9;-10;-24;-24.1;-5;1
09/08/2021;-9;-10;-33;-27;-5;1
09/09/2021;-10;-12;-38;-30.8;-6;0
09/10/2021;-10.5;-13;-37;-33.8;-7;-1
09/11/2021;-11;-14;-53;-36.8;-7;-2
09/12/2021;-12;-15;-56;-38.8;-8;-3
9/13/21;-13;-15;-63;-40.8;-8;-3
9/14/21;-9;-13;-58;-28.4;-8;3
9/15/21;-10;-14;-63;-28.5;-9;1
9/16/21;-11;-15;-64;-48.8;-11;0
9/17/21;-12;-15;-64;-39.8;-12;-1
9/18/21;-13;-19;-68;-41.8;-12;-1
9/19/21;-12;-16;-75;-43.8;-12;-1
9/20/21;-14;-17;-79;-44.8;-12;-3
9/21/21;-16;-21;-82;-47.8;-13;-4
9/22/21;-18;-15;-83;-48.8;-14;-5
9/23/21;-20;-24;-84;-49.8;-14;-5
9/24/21;-10;-23;-76;-43.1;-10;-2
9/25/21;-11;-22;-82;-39.8;-12;-3
9/26/21;-13;-22;-83;-40.8;-12;-4
9/27/21;-14;-15;-80;-37.1;-9;-5
9/28/21;-16;-15;-81;-38.8;-9;-5
9/29/21;-17;-16;-85;-40.8;-10;-6
9/30/21;-15;-15;-73;-39.8;-8;-5
10/01/2021;-15;-17;-80;-39.8;-8;-5
10/02/2021;-16;-17;-82;-42.1;-10;-6
10/03/2021;-18;-18;-84;-43.2;-10;-6
10/04/2021;-19;-13;-77;-44.2;-9;-7
10/05/2021;-20.5;-14;-75;-46.2;-8;-7
10/06/2021;-18;-10;-79;-36.8;-6;-6
10/07/2021;-20;-18;-82;-43.2;-7;-6
10/08/2021;-20;-16;-86;-44.2;-8;-7
10/09/2021;-22;-16;-88;-44.8;-10;-8
10/10/2021;-24;-20;-90;-45.8;-11;-9
10/11/2021;-14;-19;-92;-33.8;-10;-6
10/12/2021;-18;-19;-92;-32.2;-11;-8
10/13/21;-20;-24;-92;-36.8;-12;-9
10/14/21;-21;-25;-92;-38;-13;-10
10/15/21;-23;-23;-92;-41.8;-13;-11
10/16/21;-24;-24;-94;-43.2;-14;-11
10/17/21;-25;-25;-94;-44.8;-13;-12
10/18/21;-26;-27;-92;-46.2;-14;-10
10/19/21;-26;-28;-92;-47.8;-15;-11
10/20/21;-29;-29;-92;-47.8;-16;-8
10/21/21;-28;-27;-92;-49.8;-16;-10
10/22/21;-28.5;-30;-97;-49.8;-17;-15
10/23/21;-30;-28;-92.1;-51.8;-15;-15
10/24/21;-19;-27;-91;-32.8;-17;-11
10/25/21;-25;-27;-93;-38.8;-18;-11
10/26/21;-26.5;-29;-92;-46.1;-12;-13
10/27/21;-28;-30;-92;-46.8;-13;-13
10/28/21;-28.5;-32;-92;-47.8;-13;-14
10/29/21;-26;-29;-92;-47.1;-14;-14
10/30/21;-28;-27;-92;-48.8;-14;-15
10/31/21;-23.5;-27;-92;-49.8;-15;-12
11/01/2021;-23;-27;-92;-50.2;-14;-12
11/02/2021;-25;-28;8;-50.1;-15;-13
11/03/2021;-12;-13;-92;52.9;4;-6
11/04/2021;-15;-12;-92;-38.8;1;-7
11/05/2021;-45;-11;-92;-35.8;4;-7
11/06/2021;4;-9;-63;-24.8;9;-5
11/07/2021;6;-9;-56;-25.8;5;-5
11/08/2021;2;-10;-50;-30.1;3;-5
11/09/2021;4;-13;-46;-33.2;2;3
11/10/2021;8;-4;-33;-31;4;7
11/11/2021;6;-5;-22;-25.2;8;16
11/12/2021;6;-6;-22;-27;5;14
11/13/21;5;-6;-23;-30;3;17
11/14/21;4;-7;-27;-32.4;6;12
11/15/21;3;-7;-28;-34;4;10
11/16/21;3;-8;-28;-36;3;8
11/17/21;2;-12;-32;-38;3;7
11/18/21;2;-8;-33;-36.5;3;7
11/19/21;4;-12;-35;-35;0;6
11/20/21;4;-12;-35;-36.3;-1;4.8
11/21/21;3;-13;-33;-38;-3;3
11/22/21;7;-12;-37;-33;1;3
11/23/21;2;-13;-43;-35;19;2
11/24/21;1;-14;-46;-37;-2;3
11/25/21;1;-15;-47;-38.1;2;2.6
11/26/21;3;-16;-43;-40;-1;2
11/27/21;1;-16;-39;-41;1;1.4
11/28/21;0;-17;-44;-40;-4;0.4
11/29/21;5;-17;-41;-43;-5;-0.2
11/30/21;NA;-18;-58;-40.2;-8;-1.4
12/01/2021;-3;-20;-65;-44.6;-8;-11.4
12/02/2021;-4;-21;-63.2;-45.6;-7.4;-13
12/03/2021;-5;-14;-78;-46.6;-9;-13
12/04/2021;NA;-15;14;-47.6;-10;-14
12/05/2021;-1;-23;-88;-46.6;-11;-14.4
12/06/2021;-6;-26;-89;-47.6;-11;-14.4
12/07/2021;-8;-24;-89;-48.1;-12;-15
