Date;Main Camp;Sialang;Buring;Ramin;Serindit;Lestari
01/01/2021;3;3;3;3;3;3
02/01/2021;3;3;3;3;3;3
03/01/2021;3;3;3;3;3;3
04/01/2021;3;3;3;3;3;3
05/01/2021;3;3;3;3;3;3
06/01/2021;3;3;3;3;3;3
07/01/2021;3;3;3;3;3;3
08/01/2021;2;2;2;2;2;2
09/01/2021;3;3;3;3;3;3
10/01/2021;4;4;4;4;4;4
11/01/2021;4;4;4;4;4;4
12/01/2021;3;3;3;3;3;3
13/01/2021;2;2;2;2;2;2
14/01/2021;2;2;2;2;2;2
15/01/2021;2;2;2;2;2;2
16/01/2021;2;2;2;2;2;2
17/01/2021;3;3;3;3;3;3
18/01/2021;3;3;3;3;3;3
19/01/2021;2;2;2;2;2;2
20/01/2021;2;2;2;2;2;2
21/01/2021;2;2;2;2;2;2
22/01/2021;2;2;2;2;2;2
23/01/2021;2;2;2;2;2;2
24/01/2021;2;2;2;2;2;2
25/01/2021;2;2;2;2;2;2
26/01/2021;2;2;2;2;2;2
27/01/2021;2;2;2;2;2;2
28/01/2021;2;2;2;2;2;2
29/01/2021;3;3;3;3;3;3
30/01/2021;2;2;2;2;2;2
31/01/2021;3;3;3;3;3;3
01/02/2021;3;3;3;3;3;3
02/02/2021;3;3;3;3;3;3
03/02/2021;2;2;2;2;2;2
04/02/2021;3;3;3;3;3;3
05/02/2021;2;2;2;2;2;2
06/02/2021;3;3;3;3;3;3
07/02/2021;3;3;3;3;3;3
08/02/2021;3;3;3;3;3;3
09/02/2021;2;2;2;2;2;2
10/02/2021;2;2;2;2;2;2
11/02/2021;2;2;2;2;2;2
12/02/2021;2;2;2;2;2;2
13/02/2021;2;2;2;2;2;2
14/02/2021;3;3;3;3;3;3
15/02/2021;2;2;2;2;2;2
16/02/2021;2;2;2;2;2;2
17/02/2021;2;2;2;2;2;2
18/02/2021;1;1;1;1;1;1
19/02/2021;3;3;3;3;3;3
20/02/2021;3;3;3;3;3;3
21/02/2021;2;2;2;2;2;2
22/02/2021;3;3;3;3;3;3
23/02/2021;2;2;2;2;2;2
24/02/2021;3;3;3;3;3;3
25/02/2021;4;4;4;4;4;4
26/02/2021;3;3;3;3;3;3
27/02/2021;2;2;2;2;2;2
28/02/2021;2;2;2;2;2;2
01/03/2021;2;2;2;2;2;2
02/03/2021;2;2;2;2;2;2
03/03/2021;2;2;2;2;2;2
04/03/2021;2;2;2;2;2;2
05/03/2021;1;1;1;1;1;1
06/03/2021;2;2;2;2;2;2
07/03/2021;2;2;2;2;2;2
08/03/2021;2;2;2;2;2;2
