ID,dataset_id,Longitude,Latitude,x,y
110-1,110-1,104.116821,-2.049104,401782.805800,9773484.403000
110-2,110-2,104.116663,-2.049256,401765.242700,9773467.590000
110-3,110-3,104.116542,-2.049439,401751.796500,9773447.353000
111-1,111-1,104.119184,-2.052626,402045.827000,9773095.209000
111-2,111-2,104.118980,-2.052648,402023.140000,9773092.765000
111-3,111-3,104.118775,-2.052688,402000.342900,9773088.331000
136-1,136-1,104.068070,-2.032108,396359.714300,9775360.174000
136-2,136-2,104.068112,-2.032255,396364.394900,9775343.926000
136-3,136-3,104.068126,-2.032453,396365.964700,9775322.039000
137-1,137-1,104.066043,-2.032695,396134.308400,9775295.153000
137-2,137-2,104.066111,-2.032852,396141.881400,9775277.802000
137-3,137-3,104.066110,-2.033104,396141.786300,9775249.944000
138-1,138-1,104.064057,-2.033504,395913.476700,9775205.593000
138-2,138-2,104.064044,-2.033688,395912.042700,9775185.252000
138-3,138-3,104.064095,-2.033907,395917.728900,9775161.046000
141-1,141-1,104.062179,-2.034964,395704.698800,9775044.074000
141-2,141-2,104.062393,-2.035095,395728.508400,9775029.607000
141-3,141-3,104.062596,-2.035236,395751.095100,9775014.033000
142-1,142-1,104.080999,-2.036554,397797.957800,9774869.511000
142-2,142-2,104.080915,-2.036395,397788.605400,9774887.083000
142-3,142-3,104.080883,-2.036170,397785.032200,9774911.953000
143-1,143-1,104.078827,-2.037128,397556.425200,9774805.920000
143-2,143-2,104.078687,-2.036978,397540.845000,9774822.493000
143-3,143-3,104.078580,-2.036816,397528.934300,9774840.395000
149-1,149-1,104.068056,-2.038174,396358.544600,9774689.600000
149-2,149-2,104.068014,-2.037988,396353.861500,9774710.159000
149-3,149-3,104.067987,-2.037785,396350.845600,9774732.598000
150-1,150-1,104.065789,-2.037881,396106.390400,9774721.844000
150-2,150-2,104.065929,-2.037753,396121.953000,9774736.003000
150-3,150-3,104.066099,-2.037596,396140.850300,9774753.370000
151-1,151-1,104.064006,-2.036562,395908.000600,9774867.540000
151-2,151-2,104.064088,-2.036418,395917.111400,9774883.464000
151-3,151-3,104.064123,-2.036206,395920.990500,9774906.902000
152-1,152-1,104.061967,-2.036148,395681.196200,9774913.174000
152-2,152-2,104.062031,-2.035964,395688.302500,9774933.519000
152-3,152-3,104.062069,-2.035761,395692.515800,9774955.962000
154-1,154-1,104.119000,-2.056734,402025.613400,9772641.081000
154-2,154-2,104.119208,-2.056858,402048.754100,9772627.386000
154-3,154-3,104.119422,-2.056891,402072.556500,9772623.751000
155-1,155-1,104.117601,-2.061361,401870.303900,9772129.505000
155-2,155-2,104.117439,-2.061205,401852.277300,9772146.740000
155-3,155-3,104.117234,-2.061086,401829.470500,9772159.882000
156-1,156-1,104.118263,-2.064942,401944.148700,9771733.685000
156-2,156-2,104.118417,-2.064809,401961.267900,9771748.397000
156-3,156-3,104.118606,-2.064681,401982.279900,9771762.559000
15-LK-1-1,15-LK-1-1,104.238728,-2.023593,415339.459400,9776311.378000
15-LK-1-2,15-LK-1-2,104.238782,-2.023391,415345.454600,9776333.710000
15-LK-1-3,15-LK-1-3,104.238815,-2.023211,415349.115400,9776353.609000
15-LK-1-4,15-LK-1-4,104.238681,-2.023708,415334.238200,9776298.663000
15-LK-1-5,15-LK-1-5,104.238634,-2.023777,415329.014700,9776291.033000
15-LK-1-6,15-LK-1-6,104.238611,-2.023974,415326.466900,9776269.256000
15-LK-2-1,15-LK-2-1,104.239126,-2.023604,415383.723900,9776310.183000
15-LK-2-2,15-LK-2-2,104.239152,-2.023486,415386.609400,9776323.228000
15-LK-2-3,15-LK-2-3,104.239201,-2.023322,415392.050500,9776341.359000
15-LK-2-4,15-LK-2-4,104.239134,-2.023711,415384.619200,9776298.355000
15-LK-2-5,15-LK-2-5,104.239155,-2.023904,415386.964700,9776277.022000
15-LK-2-6,15-LK-2-6,104.239221,-2.024089,415394.314600,9776256.575000
162-1,162-1,104.109962,-2.077423,401021.714900,9770353.460000
162-2,162-2,104.109825,-2.077295,401006.470300,9770367.602000
162-3,162-3,104.109729,-2.077097,400995.781300,9770389.483000
163-1,163-1,104.108033,-2.078000,400807.215600,9770289.555000
163-2,163-2,104.107918,-2.077854,400794.416600,9770305.687000
163-3,163-3,104.107756,-2.077680,400776.388800,9770324.912000
164-1,164-1,104.105896,-2.079025,400569.611500,9770176.112000
164-2,164-2,104.105915,-2.079213,400571.736300,9770155.331000
164-3,164-3,104.105937,-2.079439,400574.197200,9770130.349000
165-1,165-1,104.103916,-2.079389,400349.426900,9770135.749000
165-2,165-2,104.103863,-2.079203,400343.520800,9770156.307000
165-3,165-3,104.103802,-2.078992,400336.723400,9770179.628000
166-1,166-1,104.101958,-2.080274,400131.721900,9770037.793000
166-2,166-2,104.102075,-2.080424,400144.743600,9770021.218000
166-3,166-3,104.102141,-2.080584,400152.093900,9770003.535000
167-1,167-1,104.099990,-2.080898,399912.888400,9769968.688000
167-2,167-2,104.099930,-2.080732,399906.205000,9769987.034000
167-3,167-3,104.099855,-2.080530,399897.851100,9770009.360000
168-1,168-1,104.097951,-2.081460,399686.154800,9769906.432000
168-2,168-2,104.098069,-2.081612,399699.287900,9769889.636000
168-3,168-3,104.098263,-2.081786,399720.874700,9769870.414000
170-1,170-1,104.209262,-1.979227,412059.996600,9781214.116000
170-2,170-2,104.209113,-1.979292,412043.428300,9781206.923000
170-3,170-3,104.208881,-1.979389,412017.630500,9781196.188000
171-1,171-1,104.210165,-1.980988,412160.520700,9781019.499000
171-2,171-2,104.210038,-1.981094,412146.401400,9781007.775000
