fid,name,dataset_id,Longitude,Latitude,x,y
"1",BU-LK-1-3,BU-LK-1-3,104.104388,-1.961194,400394.7201,9783201.643
"2",BU-LK-2-1,BU-LK-2-1,104.104,-1.960946,400351.5506,9783229.035
"3",BU-LK-2-2,BU-LK-2-2,104.104151,-1.960896,400368.3425,9783234.572
"4",BU-LK-2-3,BU-LK-2-3,104.104374,-1.960834,400393.1417,9783241.439
"5",BU-LK-2-4,BU-LK-2-4,104.103887,-1.960965,400338.9834,9783226.928
"6",BU-LK-2-5,BU-LK-2-5,104.103731,-1.960987,400321.6338,9783224.487
"7",BU-LK-2-6,BU-LK-2-6,104.103437,-1.961073,400288.9391,9783214.963
"8",RA.1,Ramin-1,104.15238,-1.968745,405732.999363,9782369.665911
"9",RA.2,Ramin-2,104.152338,-1.968725,405728.292972,9782371.917936
"10",RA.3,Ramin-3,104.152214,-1.968665,405714.451133,9782378.541432
"11",RA.4,Ramin-4,104.152004,-1.968564,405691.07685,9782389.726276
"12",RA.5,Ramin-5,104.151594,-1.968366,405645.466026,9782411.551451
"13",76-1,76-1,104.18591,-2.033937,409465.7967,9775165.073
"14",76-2,76-2,104.185755,-2.033864,409448.5541,9775173.134
"15",76-3,76-3,104.185561,-2.033739,409426.9711,9775186.941
"16",77-1,77-1,104.183301,-2.037383,409175.8254,9774783.996
"17",77-2,77-2,104.183403,-2.037526,409187.1775,9774768.194
"18",77-3,77-3,104.183534,-2.037694,409201.7562,9774749.631
"19",81-1,81-1,104.175279,-2.042825,408283.9545,9774181.967
"20",81-2,81-2,104.175237,-2.042996,408279.2931,9774163.062
"21",81-3,81-3,104.175188,-2.043224,408273.8565,9774137.855
"22",82-1,82-1,104.175077,-2.042001,408261.4421,9774273.043
"23",82-2,82-2,104.175028,-2.041829,408255.9827,9774292.054
"24",82-3,82-3,104.174932,-2.041624,408245.2943,9774314.709
"25",83-1,83-1,104.17042,-2.042792,407743.5524,9774185.337
"26",83-2,83-2,104.170457,-2.042952,407747.6765,9774167.652
"27",83-3,83-3,104.170494,-2.04319,407751.8051,9774141.345
"28",110-1,110-1,104.116821,-2.049104,401782.8058,9773484.403
"29",110-2,110-2,104.116663,-2.049256,401765.2427,9773467.59
"30",110-3,110-3,104.116542,-2.049439,401751.7965,9773447.353
"31",111-1,111-1,104.119184,-2.052626,402045.827,9773095.209
"32",111-2,111-2,104.11898,-2.052648,402023.14,9773092.765
"33",111-3,111-3,104.118775,-2.052688,402000.3429,9773088.331
"34",154-1,154-1,104.119,-2.056734,402025.6134,9772641.081
"35",154-2,154-2,104.119208,-2.056858,402048.7541,9772627.386
"36",154-3,154-3,104.119422,-2.056891,402072.5565,9772623.751
"37",155-1,155-1,104.117601,-2.061361,401870.3039,9772129.505
"38",155-2,155-2,104.117439,-2.061205,401852.2773,9772146.74
"39",155-3,155-3,104.117234,-2.061086,401829.4705,9772159.882
"40",156-1,156-1,104.118263,-2.064942,401944.1487,9771733.685
"41",156-2,156-2,104.118417,-2.064809,401961.2679,9771748.397
"42",156-3,156-3,104.118606,-2.064681,401982.2799,9771762.559
"43",85-1,85-1,104.163033,-2.044746,406922.1084,9773968.909
"44",85-2,85-2,104.162901,-2.044647,406907.4221,9773979.846
"45",85-3,85-3,104.162739,-2.04456,406889.4,9773989.453
"46",87-1,87-1,104.157999,-2.049843,406362.54,9773405.177
"47",87-2,87-2,104.15796,-2.050009,406358.2122,9773386.824
"48",87-3,87-3,104.157888,-2.050225,406350.2172,9773362.943
"49",89-1,89-1,104.149277,-2.048172,405392.4124,9773589.383
"50",89-2,89-2,104.149377,-2.048008,405403.5244,9773607.518
"51",89-3,89-3,104.149488,-2.047825,405415.8587,9773627.754
"52",90-1,90-1,104.145169,-2.046819,404935.4543,9773738.705
"53",90-2,90-2,104.145104,-2.047016,404928.2369,9773716.924
"54",90-3,90-3,104.145029,-2.047218,404919.9075,9773694.59
"55",91-1,91-1,104.141025,-2.045541,404474.4958,9773879.734
"56",91-2,91-2,104.141131,-2.045345,404486.2732,9773901.407
"57",91-3,91-3,104.141233,-2.045173,404497.6071,9773920.427
"58",92-1,92-1,104.137801,-2.046721,404116.0018,9773749.1
"59",92-2,92-2,104.137989,-2.046775,404136.9138,9773743.142
"60",92-3,92-3,104.138165,-2.046876,404156.494,9773731.988
"61",93-1,93-1,104.134331,-2.049098,403730.2202,9773486.129
"62",93-2,93-2,104.134148,-2.048971,403709.8599,9773500.157
"63",93-3,93-3,104.133934,-2.048857,403686.0527,9773512.746
"64",94-1,94-1,104.130223,-2.051063,403273.4584,9773268.662
"65",94-2,94-2,104.130384,-2.0512,403291.3725,9773253.527
"66",94-3,94-3,104.130527,-2.05136,403307.2862,9773235.849
"67",95-1,95-1,104.126779,-2.053313,402890.5625,9773019.729
"68",95-2,95-2,104.126555,-2.053251,402865.6462,9773026.569
"69",95-3,95-3,104.126342,-2.053234,402841.956,9773028.435
"70",96-1,96-1,104.12417,-2.056485,402600.5896,9772668.923
"71",96-2,96-2,104.124206,-2.056699,402604.6064,9772645.269
"72",96-3,96-3,104.124227,-2.056911,402606.9548,9772621.835
"73",BU-LK-1-1,BU-LK-1-1,104.104058,-1.961327,400358.0241,9783186.921
"74",BU-LK-1-2,BU-LK-1-2,104.104231,-1.961277,400377.2629,9783192.459
"75",BU-LK-1-4,BU-LK-1-4,104.103994,-1.961365,400350.9081,9783182.717
"76",BU-LK-1-5,BU-LK-1-5,104.103871,-1.961448,400337.2324,9783173.534
"77",BU-LK-1-6,BU-LK-1-6,104.103647,-1.961571,400312.3256,9783159.924
"78",LE.5,Lestari-5,104.226158,-2.034003,413942.000032,9775159.999962
"79",LE.1,Lestari-1,104.227704,-2.034718,414113.99995,9775081.000025
"80",LE.2,Lestari-2,104.227542,-2.034637,414096.000013,9775089.999967
"81",LE.3,Lestari-3,104.227362,-2.034546,414076.000024,9775100.000035
"82",LE.4,Lestari-4,104.226913,-2.034401,414026,9775115.999988
"83",142-1,142-1,104.080999,-2.036554,397797.9578,9774869.511
"84",142-2,142-2,104.080915,-2.036395,397788.6054,9774887.083
"85",142-3,142-3,104.080883,-2.03617,397785.0322,9774911.953
"86",143-1,143-1,104.078827,-2.037128,397556.4252,9774805.92
"87",143-2,143-2,104.078687,-2.036978,397540.845,9774822.493
"88",143-3,143-3,104.07858,-2.036816,397528.9343,9774840.395
"89",162-1,162-1,104.109962,-2.077423,401021.7149,9770353.46
"90",162-2,162-2,104.109825,-2.077295,401006.4703,9770367.602
"91",162-3,162-3,104.109729,-2.077097,400995.7813,9770389.483
"92",163-1,163-1,104.108033,-2.078,400807.2156,9770289.555
"93",163-2,163-2,104.107918,-2.077854,400794.4166,9770305.687
"94",163-3,163-3,104.107756,-2.07768,400776.3888,9770324.912
"95",136-1,136-1,104.06807,-2.032108,396359.7143,9775360.174
"96",136-2,136-2,104.068112,-2.032255,396364.3949,9775343.926
"97",136-3,136-3,104.068126,-2.032453,396365.9647,9775322.039
"98",137-1,137-1,104.066043,-2.032695,396134.3084,9775295.153
